Name,Street,District,Region,Status,Working hour,Price range,Rate Average,Review count,Rate Quality,Rate Price,Rate Location,Rate Service,Rate Space,Category
Bún Thái & Ăn Vặt - Tuệ Tĩnh,"90/16G Tuệ Tĩnh, P. 13",Quận 11,TP. HCM,,10:00 - 17:00,40.000đ - 50.000đ,8.7,15,9.3,9.3,8.9,8.7,7.5,Đồ ăn
"Heo Con - Gà Rán, Hamburger & Sushi","16 Đường D3, KP. 1, P. Linh Tây",Tp. Thủ Đức,TP. HCM,,06:00 - 21:00,20.000đ - 55.000đ,7.7,10,7.9,7.7,7.7,7.6,7.5,Đồ ăn
Bún Bò Vương - Thống Nhất,"674 Thống Nhất, P. 15",Quận Gò Vấp,TP. HCM,Đang mở cửa,00:01 - 13:00 | 00:01 - 13:00 | 21:00 - 23:59,22.000đ - 45.000đ,7.9,8,8.5,8.4,7.9,7.6,7.1,Đồ ăn
Bánh Cuốn Ba Miền - Trường Chinh,"243 Trường Chinh, P. 12",Quận Tân Bình,TP. HCM,Đang mở cửa,00:01 - 23:59,20.000đ - 30.000đ,6.3,58,6.7,6.5,6.1,6.1,6.0,Đồ ăn
Henry Food - Bún Thái Cay & Lẩu - Ung Văn Khiêm,"31/40/6 Ung Văn Khiêm, P. 25",Quận Bình Thạnh,TP. HCM,,10:00 - 23:00,25.000đ - 30.000đ,10.0,1,10.0,10.0,10.0,10.0,10.0,Đồ ăn
Thành Đạt - Hủ Tíu Nam Vang - Cô Bắc,"34 Cô Bắc, P. Cầu Ông Lãnh",Quận 1,TP. HCM,Đang mở cửa,00:01 - 04:30 | 05:30 - 23:59,35.000đ - 50.000đ,6.5,133,7.0,6.9,6.6,6.1,5.8,Đồ ăn
"Bình Ký - Cơm, Hủ Tiếu & Mì Xào","1041/62/128 Trần Xuân Soạn, P. Tân Hưng",Quận 7,TP. HCM,,10:30 - 22:30,30.000đ - 80.000đ,9.6,5,10.0,10.0,9.6,9.4,9.0,Đồ ăn
Thành Đạt - Hủ Tiếu Nam Vang - Nguyễn Thượng Hiền,"316 Nguyễn Thượng Hiền, P. 4",Quận 3,TP. HCM,Đang mở cửa,00:01 - 23:59,45.000đ - 48.000đ,5.7,20,6.0,5.8,5.7,5.6,5.5,Đồ ăn
Đạt Quán - Cháo Ếch Singapore,"660 Điện Biên Phủ, P. 22",Quận Bình Thạnh,TP. HCM,Đang mở cửa,00:01 - 02:00 | 16:00 - 23:59,15.000đ - 25.000đ,7.7,18,8.4,8.1,7.6,7.5,7.2,Đồ ăn
Chảo Đỏ - Mì Trộn & Cơm Chiên - Phan Huy Ích,"162 Phan Huy Ích, P. 12",Quận Gò Vấp,TP. HCM,Đang mở cửa,00:01 - 05:59 | 06:00 - 23:59,30.000đ - 42.000đ,10.0,1,10.0,10.0,10.0,10.0,10.0,Đồ ăn
